ID,Ref.,Cit.,Alloy,Dmax,Fe,Co,B,Si,Nb,Ni,Y,Zr,Cr,Mo,P,C,Hf,Al,Dy,Er,Mn,Ti,V,Cu,Sn,W,Ta
65,[13],"[13] X. Yang, X. Ma, Q. Li, S. Guo, The effect of Mo on the glass forming ability, mechanical and magnetic properties of FePC ternary bulk metallic glasses, J. Alloys Compd. 554 (2013) 446–449. https://doi.org/10.1016/j.jallcom.2012.11.170.",Fe68Mo12P13C7,1,0.68,0,0,0,0,0,0,0,0,0.12,0.13,0.07,0,0,0,0,0,0,0,0,0,0,0
66,[14],"[14] J. Li, W. Yang, M. Zhang, G. Chen, B. Shen, Thermal stability and crystallization behavior of (Fe0.75?xDyxB0.2Si0.05)96Nb4 (x=0–0.07) bulk metallic glasses, J. Non-Cryst. Solids. 365 (2013) 42–46. https://doi.org/10.1016/j.jnoncrysol.2013.01.033.",(Fe0.74Dy0.01B0.2Si0.05)96Nb4 ,1,0.7104,0,0.192,0.048,0.04,0,0,0,0,0,0,0,0,0,0.0096,0,0,0,0,0,0,0,0
67,[14],"[14] J. Li, W. Yang, M. Zhang, G. Chen, B. Shen, Thermal stability and crystallization behavior of (Fe0.75?xDyxB0.2Si0.05)96Nb4 (x=0–0.07) bulk metallic glasses, J. Non-Cryst. Solids. 365 (2013) 42–46. https://doi.org/10.1016/j.jnoncrysol.2013.01.033.",(Fe0.73Dy0.02B0.2Si0.05)96Nb4 ,2,0.7008,0,0.192,0.048,0.04,0,0,0,0,0,0,0,0,0,0.0192,0,0,0,0,0,0,0,0
68,[14],"[14] J. Li, W. Yang, M. Zhang, G. Chen, B. Shen, Thermal stability and crystallization behavior of (Fe0.75?xDyxB0.2Si0.05)96Nb4 (x=0–0.07) bulk metallic glasses, J. Non-Cryst. Solids. 365 (2013) 42–46. https://doi.org/10.1016/j.jnoncrysol.2013.01.033.",(Fe0.72Dy0.03B0.2Si0.05)96Nb4  ,2.5,0.6912,0,0.192,0.048,0.04,0,0,0,0,0,0,0,0,0,0.0288,0,0,0,0,0,0,0,0
69,[14],"[14] J. Li, W. Yang, M. Zhang, G. Chen, B. Shen, Thermal stability and crystallization behavior of (Fe0.75?xDyxB0.2Si0.05)96Nb4 (x=0–0.07) bulk metallic glasses, J. Non-Cryst. Solids. 365 (2013) 42–46. https://doi.org/10.1016/j.jnoncrysol.2013.01.033.",(Fe0.71Dy0.04B0.2Si0.05)96Nb4  ,4,0.6816,0,0.192,0.048,0.04,0,0,0,0,0,0,0,0,0,0.0384,0,0,0,0,0,0,0,0
70,[14],"[14] J. Li, W. Yang, M. Zhang, G. Chen, B. Shen, Thermal stability and crystallization behavior of (Fe0.75?xDyxB0.2Si0.05)96Nb4 (x=0–0.07) bulk metallic glasses, J. Non-Cryst. Solids. 365 (2013) 42–46. https://doi.org/10.1016/j.jnoncrysol.2013.01.033.",(Fe0.70Dy0.05B0.2Si0.05)96Nb4  ,3,0.672,0,0.192,0.048,0.04,0,0,0,0,0,0,0,0,0,0.048,0,0,0,0,0,0,0,0
71,[14],"[14] J. Li, W. Yang, M. Zhang, G. Chen, B. Shen, Thermal stability and crystallization behavior of (Fe0.75?xDyxB0.2Si0.05)96Nb4 (x=0–0.07) bulk metallic glasses, J. Non-Cryst. Solids. 365 (2013) 42–46. https://doi.org/10.1016/j.jnoncrysol.2013.01.033.",(Fe0.69Dy0.06B0.2Si0.05)96Nb4  ,3,0.6624,0,0.192,0.048,0.04,0,0,0,0,0,0,0,0,0,0.0576,0,0,0,0,0,0,0,0
72,[14],"[14] J. Li, W. Yang, M. Zhang, G. Chen, B. Shen, Thermal stability and crystallization behavior of (Fe0.75?xDyxB0.2Si0.05)96Nb4 (x=0–0.07) bulk metallic glasses, J. Non-Cryst. Solids. 365 (2013) 42–46. https://doi.org/10.1016/j.jnoncrysol.2013.01.033.",(Fe0.68Dy0.07B0.2Si0.05)96Nb4  ,2,0.6528,0,0.192,0.048,0.04,0,0,0,0,0,0,0,0,0,0.0672,0,0,0,0,0,0,0,0
73,[15],"[15] S. Guo, J. Wang, H. Zhang, S. Xie, Enhanced plasticity of Fe-based bulk metallic glass by tailoring microstructure, Trans. Nonferrous Met. Soc. China. 22 (2012) 348–353. https://doi.org/10.1016/S1003-6326(11)61182-5.",Fe75Mo5P10C8.3B1.7,1.5,0.75,0,0.017,0,0,0,0,0,0,0.05,0.1,0.083,0,0,0,0,0,0,0,0,0,0,0
74,[7],"[7] C. Suryanarayana, A. Inoue, Iron-based bulk metallic glasses, Int. Mater. Rev. 58 (2013) 131–166. https://doi.org/10.1179/1743280412Y.0000000007.",Fe71Mo5P12C10B2,3,0.71,0,0.02,0,0,0,0,0,0,0.05,0.12,0.1,0,0,0,0,0,0,0,0,0,0,0
75,[16],"[16] T. Zhang, F. Liu, S. Pang, R. Li, Ductile Fe-Based Bulk Metallic Glass with Good Soft-Magnetic Properties, Mater. Trans. 48 (2007) 1157–1160. https://doi.org/10.2320/matertrans.48.1157.",Fe75Mo5P10C7.5B2.5,2,0.75,0,0.025,0,0,0,0,0,0,0.05,0.1,0.075,0,0,0,0,0,0,0,0,0,0,0
76,[7],"[7] C. Suryanarayana, A. Inoue, Iron-based bulk metallic glasses, Int. Mater. Rev. 58 (2013) 131–166. https://doi.org/10.1179/1743280412Y.0000000007.",Fe71Nb6B23,1.5,0.71,0,0.23,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,[17],"[17] H.B. Wang, L.X. Ma, L. Li, B. Zhang, Fabrication of Fe-based bulk metallic glasses from low-purity industrial raw materials, J. Alloys Compd. 629(2015) 1–4. https://doi.org/10.1016/j.jallcom.2014.11.228.",Fe40Ni40P14B6,2.5,0.4,0,0.06,0,0,0.4,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0
78,[18],"[18] S.F. Guo, N. Li, C. Zhang, L. Liu, Enhancement of plasticity of Fe-based bulk metallic glass by Ni substitution for Fe, J. Alloys Compd. 504 (2010) S78–S81. https://doi.org/10.1016/j.jallcom.2010.02.058.",(Fe0.8Ni0.2)71Mo5P12C10B2,3,0.568,0,0.02,0,0,0.142,0,0,0,0.05,0.12,0.1,0,0,0,0,0,0,0,0,0,0,0
79,[19],"[19] A. Seifoddini, M. Stoica, M. Nili-Ahmadabadi, S. Heshmati-Manesh, U. Kühn, J. Eckert, New (Fe0.9Ni0.1)77Mo5P9C7.5B1.5 glassy alloys with enhanced glass-forming ability and large compressive strain, Mater. Sci. Eng. A. 560 (2013) 575–582. https://doi.org/10.1016/j.msea.2012.09.104.",(Fe0.9Ni0.1)77Mo5P9C7.5B1.5,2.5,0.693,0,0.015,0,0,0.077,0,0,0,0.05,0.09,0.075,0,0,0,0,0,0,0,0,0,0,0
80,[20],"[20] C. Zhao, C. Dun, Q. Man, B. Shen, Enhancement of plastic deformation in FeCoNbB bulk metallic glass with superhigh strength, Intermetallics.32 (",(Fe0.5Co0.5)71Nb6B23,0.5,0.355,0.355,0.23,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,[20],"[20] C. Zhao, C. Dun, Q. Man, B. Shen, Enhancement of plastic deformation in FeCoNbB bulk metallic glass with superhigh strength, Intermetallics.32 (",(Fe0.5Co0.5)69Nb6B25 ,1.5,0.345,0.345,0.25,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,[20],"[20] C. Zhao, C. Dun, Q. Man, B. Shen, Enhancement of plastic deformation in FeCoNbB bulk metallic glass with superhigh strength, Intermetallics.32 (",(Fe0.5Co0.5)68Nb6B26,2.5,0.34,0.34,0.26,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,[20],"[20] C. Zhao, C. Dun, Q. Man, B. Shen, Enhancement of plastic deformation in FeCoNbB bulk metallic glass with superhigh strength, Intermetallics.32 (",(Fe0.5Co0.5)67Nb6B27,3,0.335,0.335,0.27,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,[20],"[20] C. Zhao, C. Dun, Q. Man, B. Shen, Enhancement of plastic deformation in FeCoNbB bulk metallic glass with superhigh strength, Intermetallics.32 (",(Fe0.5Co0.5)68Nb6B28,2,0.33,0.33,0.28,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,[21],"[21] M. Zhang, A. Wang, B. Shen, Enhancement of glass-forming ability of Fe-based bulk metallic glasses with high saturation magnetic flux density, AIP Adv. 2 (2012) 022169. https://doi.org/10.1063/1.4733340.",Fe76Mo3.5P10C4B4Si2.5,4.5,0.76,0,0.04,0.025,0,0,0,0,0,0.035,0.1,0.04,0,0,0,0,0,0,0,0,0,0,0
86,[21],"[21] M. Zhang, A. Wang, B. Shen, Enhancement of glass-forming ability of Fe-based bulk metallic glasses with high saturation magnetic flux density, AIP Adv. 2 (2012) 022169. https://doi.org/10.1063/1.4733340.",Fe71Ni5Mo3.5P10C4B4Si2.5,5.5,0.71,0,0.04,0.025,0,0.05,0,0,0,0.035,0.1,0.04,0,0,0,0,0,0,0,0,0,0,0
87,[21],"[21] M. Zhang, A. Wang, B. Shen, Enhancement of glass-forming ability of Fe-based bulk metallic glasses with high saturation magnetic flux density, AIP Adv. 2 (2012) 022169. https://doi.org/10.1063/1.4733340.",Fe66Ni10Mo3.5P10C4B4Si2.5,4,0.66,0,0.04,0.025,0,0.1,0,0,0,0.035,0.1,0.04,0,0,0,0,0,0,0,0,0,0,0
88,[21],"[21] M. Zhang, A. Wang, B. Shen, Enhancement of glass-forming ability of Fe-based bulk metallic glasses with high saturation magnetic flux density, AIP Adv. 2 (2012) 022169. https://doi.org/10.1063/1.4733340.",Fe61Ni15Mo3.5P10C4B4Si2.5,2.5,0.61,0,0.04,0.025,0,0.15,0,0,0,0.035,0.1,0.04,0,0,0,0,0,0,0,0,0,0,0
89,[21],"[21] M. Zhang, A. Wang, B. Shen, Enhancement of glass-forming ability of Fe-based bulk metallic glasses with high saturation magnetic flux density, AIP Adv. 2 (2012) 022169. https://doi.org/10.1063/1.4733340.",Fe56Ni20Mo3.5P10C4B4Si2.5,1,0.56,0,0.04,0.025,0,0.2,0,0,0,0.035,0.1,0.04,0,0,0,0,0,0,0,0,0,0,0
90,[21],"[21] M. Zhang, A. Wang, B. Shen, Enhancement of glass-forming ability of Fe-based bulk metallic glasses with high saturation magnetic flux density, AIP Adv. 2 (2012) 022169. https://doi.org/10.1063/1.4733340.",Fe46Ni30Mo3.5P10C4B4Si2.5,0.3,0.46,0,0.04,0.025,0,0.3,0,0,0,0.035,0.1,0.04,0,0,0,0,0,0,0,0,0,0,0
91,[1],"[1] Z.-Z. Yuan, S.-L. Bao, Y. Lu, D.-P. Zhang, L. Yao, A new criterion for evaluating the glass-forming ability of bulk glass forming alloys, J. Alloys . Compd. 459 (2008) 251–260. https://doi.org/10.1016/j.jallcom.2007.05.037.",(Fe0.75B0.2Si0.05)96Nb4,1.5,0.72,0,0.192,0.048,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,[1],"[1] Z.-Z. Yuan, S.-L. Bao, Y. Lu, D.-P. Zhang, L. Yao, A new criterion for evaluating the glass-forming ability of bulk glass forming alloys, J. Alloys . Compd. 459 (2008) 251–260. https://doi.org/10.1016/j.jallcom.2007.05.037.",Fe27Co40Zr3Ti3Mo1.5Si1.5B24,1.5,0.27,0.4,0.24,0.015,0,0,0,0.03,0,0.015,0,0,0,0,0,0,0,0.03,0,0,0,0,0
93,[1],"[1] Z.-Z. Yuan, S.-L. Bao, Y. Lu, D.-P. Zhang, L. Yao, A new criterion for evaluating the glass-forming ability of bulk glass forming alloys, J. Alloys . Compd. 459 (2008) 251–260. https://doi.org/10.1016/j.jallcom.2007.05.037.",Fe39Co9Cr15Mo14C15B6Y2,10,0.39,0.09,0.06,0,0,0,0.02,0,0.15,0.14,0,0.15,0,0,0,0,0,0,0,0,0,0,0
94,[1],"[1] Z.-Z. Yuan, S.-L. Bao, Y. Lu, D.-P. Zhang, L. Yao, A new criterion for evaluating the glass-forming ability of bulk glass forming alloys, J. Alloys . Compd. 459 (2008) 251–260. https://doi.org/10.1016/j.jallcom.2007.05.037.",Fe46Co30Mo4(P0.45C0.2B0.2Si0.15)20,3,0.46,0.3,0.04,0.03,0,0,0,0,0,0.04,0.09,0.04,0,0,0,0,0,0,0,0,0,0,0
95,[9],"[9] V. Ponnambalam, S.J. Poon, G.J. Shiflet, Fe-based bulk metallic glasses with diameter thickness larger than one centimeter, J. Mater. Res. 19. (2004) 1320–1323. https://doi.org/10.1557/JMR.2004.0176.",Fe48Cr15Mo14Er2C15B6,12,0.48,0,0.06,0,0,0,0,0,0.15,0.14,0,0.15,0,0,0,0.02,0,0,0,0,0,0,0
96,[1],"[1] Z.-Z. Yuan, S.-L. Bao, Y. Lu, D.-P. Zhang, L. Yao, A new criterion for evaluating the glass-forming ability of bulk glass forming alloys, J. Alloys . Compd. 459 (2008) 251–260. https://doi.org/10.1016/j.jallcom.2007.05.037.",Fe56Co16Y6B22,2.5,0.56,0.16,0.22,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,[1],"[1] Z.-Z. Yuan, S.-L. Bao, Y. Lu, D.-P. Zhang, L. Yao, A new criterion for evaluating the glass-forming ability of bulk glass forming alloys, J. Alloys . Compd. 459 (2008) 251–260. https://doi.org/10.1016/j.jallcom.2007.05.037.",Fe56Co20Mo4(P0.45C0.2B0.2Si0.15)20,5,0.56,0.2,0.04,0.03,0,0,0,0,0,0.04,0.09,0.04,0,0,0,0,0,0,0,0,0,0,0
98,[1],"[1] Z.-Z. Yuan, S.-L. Bao, Y. Lu, D.-P. Zhang, L. Yao, A new criterion for evaluating the glass-forming ability of bulk glass forming alloys, J. Alloys . Compd. 459 (2008) 251–260. https://doi.org/10.1016/j.jallcom.2007.05.037.",Fe60Co12Y6B22,2.5,0.6,0.12,0.22,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,[1],"[1] Z.-Z. Yuan, S.-L. Bao, Y. Lu, D.-P. Zhang, L. Yao, A new criterion for evaluating the glass-forming ability of bulk glass forming alloys, J. Alloys . Compd. 459 (2008) 251–260. https://doi.org/10.1016/j.jallcom.2007.05.037.",Fe61B15Mo7Zr8Co5Y2Cr2,5,0.61,0.05,0.15,0,0,0,0.02,0.08,0.02,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0
100,[1],"[1] Z.-Z. Yuan, S.-L. Bao, Y. Lu, D.-P. Zhang, L. Yao, A new criterion for evaluating the glass-forming ability of bulk glass forming alloys, J. Alloys . Compd. 459 (2008) 251–260. https://doi.org/10.1016/j.jallcom.2007.05.037.",Fe61B15Mo7Zr8Co7Y2,5,0.61,0.07,0.15,0,0,0,0.02,0.08,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0
101,[1],"[1] Z.-Z. Yuan, S.-L. Bao, Y. Lu, D.-P. Zhang, L. Yao, A new criterion for evaluating the glass-forming ability of bulk glass forming alloys, J. Alloys . Compd. 459 (2008) 251–260. https://doi.org/10.1016/j.jallcom.2007.05.037.",Fe62Co10Y6B22,2.5,0.62,0.1,0.22,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,[1],"[1] Z.-Z. Yuan, S.-L. Bao, Y. Lu, D.-P. Zhang, L. Yao, A new criterion for evaluating the glass-forming ability of bulk glass forming alloys, J. Alloys . Compd. 459 (2008) 251–260. https://doi.org/10.1016/j.jallcom.2007.05.037.",Fe63C15Mo14Er2B6,3,0.63,0,0.06,0,0,0,0,0,0,0.14,0,0.15,0,0,0,0.02,0,0,0,0,0,0,0
103,[1],"[1] Z.-Z. Yuan, S.-L. Bao, Y. Lu, D.-P. Zhang, L. Yao, A new criterion for evaluating the glass-forming ability of bulk glass forming alloys, J. Alloys . Compd. 459 (2008) 251–260. https://doi.org/10.1016/j.jallcom.2007.05.037.",Fe64Co8Y6B22,2.5,0.64,0.08,0.22,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,[1],"[1] Z.-Z. Yuan, S.-L. Bao, Y. Lu, D.-P. Zhang, L. Yao, A new criterion for evaluating the glass-forming ability of bulk glass forming alloys, J. Alloys . Compd. 459 (2008) 251–260. https://doi.org/10.1016/j.jallcom.2007.05.037.",Fe66Co10Mo4(P0.45C0.2B0.2Si0.15)20,6,0.66,0.1,0.04,0.03,0,0,0,0,0,0.04,0.09,0.04,0,0,0,0,0,0,0,0,0,0,0
105,[1],"[1] Z.-Z. Yuan, S.-L. Bao, Y. Lu, D.-P. Zhang, L. Yao, A new criterion for evaluating the glass-forming ability of bulk glass forming alloys, J. Alloys . Compd. 459 (2008) 251–260. https://doi.org/10.1016/j.jallcom.2007.05.037.",Fe66Co6Y6B22,2,0.66,0.06,0.22,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,[1],"[1] Z.-Z. Yuan, S.-L. Bao, Y. Lu, D.-P. Zhang, L. Yao, A new criterion for evaluating the glass-forming ability of bulk glass forming alloys, J. Alloys . Compd. 459 (2008) 251–260. https://doi.org/10.1016/j.jallcom.2007.05.037.",Fe67Ni5Y6B22,1,0.67,0,0.22,0,0,0.05,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,[1],"[1] Z.-Z. Yuan, S.-L. Bao, Y. Lu, D.-P. Zhang, L. Yao, A new criterion for evaluating the glass-forming ability of bulk glass forming alloys, J. Alloys . Compd. 459 (2008) 251–260. https://doi.org/10.1016/j.jallcom.2007.05.037.",Fe68.3C6.9Si2.5B6.7P8.8Cr2.2Mo2.5Al2.1,4,0.683,0,0.067,0.025,0,0,0,0,0.022,0.025,0.088,0.069,0,0.021,0,0,0,0,0,0,0,0,0
108,[1],"[1] Z.-Z. Yuan, S.-L. Bao, Y. Lu, D.-P. Zhang, L. Yao, A new criterion for evaluating the glass-forming ability of bulk glass forming alloys, J. Alloys . Compd. 459 (2008) 251–260. https://doi.org/10.1016/j.jallcom.2007.05.037.",Fe68Co4Y6B22,2,0.68,0.04,0.22,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,[1],"[1] Z.-Z. Yuan, S.-L. Bao, Y. Lu, D.-P. Zhang, L. Yao, A new criterion for evaluating the glass-forming ability of bulk glass forming alloys, J. Alloys . Compd. 459 (2008) 251–260. https://doi.org/10.1016/j.jallcom.2007.05.037.",Fe68Ni4Y6B22,1.5,0.68,0,0.22,0,0,0.04,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,[1],"[1] Z.-Z. Yuan, S.-L. Bao, Y. Lu, D.-P. Zhang, L. Yao, A new criterion for evaluating the glass-forming ability of bulk glass forming alloys, J. Alloys . Compd. 459 (2008) 251–260. https://doi.org/10.1016/j.jallcom.2007.05.037.",Fe69Mo3Y6B22,6,0.69,0,0.22,0,0,0,0.06,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0
111,[1],"[1] Z.-Z. Yuan, S.-L. Bao, Y. Lu, D.-P. Zhang, L. Yao, A new criterion for evaluating the glass-forming ability of bulk glass forming alloys, J. Alloys . Compd. 459 (2008) 251–260. https://doi.org/10.1016/j.jallcom.2007.05.037.",Fe69Ni3Y6B22,1.5,0.69,0,0.22,0,0,0.03,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,[1],"[1] Z.-Z. Yuan, S.-L. Bao, Y. Lu, D.-P. Zhang, L. Yao, A new criterion for evaluating the glass-forming ability of bulk glass forming alloys, J. Alloys . Compd. 459 (2008) 251–260. https://doi.org/10.1016/j.jallcom.2007.05.037.",Fe70Co2Y6B22,2,0.7,0.02,0.22,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,[1],"[1] Z.-Z. Yuan, S.-L. Bao, Y. Lu, D.-P. Zhang, L. Yao, A new criterion for evaluating the glass-forming ability of bulk glass forming alloys, J. Alloys . Compd. 459 (2008) 251–260. https://doi.org/10.1016/j.jallcom.2007.05.037.",Fe70Mo2Y6B22,3.5,0.7,0,0.22,0,0,0,0.06,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0
114,[1],"[1] Z.-Z. Yuan, S.-L. Bao, Y. Lu, D.-P. Zhang, L. Yao, A new criterion for evaluating the glass-forming ability of bulk glass forming alloys, J. Alloys . Compd. 459 (2008) 251–260. https://doi.org/10.1016/j.jallcom.2007.05.037.",Fe70Ni2Y6B22,2,0.7,0,0.22,0,0,0.02,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,[1],"[1] Z.-Z. Yuan, S.-L. Bao, Y. Lu, D.-P. Zhang, L. Yao, A new criterion for evaluating the glass-forming ability of bulk glass forming alloys, J. Alloys . Compd. 459 (2008) 251–260. https://doi.org/10.1016/j.jallcom.2007.05.037.",Fe71Mo1Y6B22,2.5,0.71,0,0.22,0,0,0,0.06,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0
116,[1],"[1] Z.-Z. Yuan, S.-L. Bao, Y. Lu, D.-P. Zhang, L. Yao, A new criterion for evaluating the glass-forming ability of bulk glass forming alloys, J. Alloys . Compd. 459 (2008) 251–260. https://doi.org/10.1016/j.jallcom.2007.05.037.",Fe71Ni1Y6B22,2,0.71,0,0.22,0,0,0.01,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,[1],"[1] Z.-Z. Yuan, S.-L. Bao, Y. Lu, D.-P. Zhang, L. Yao, A new criterion for evaluating the glass-forming ability of bulk glass forming alloys, J. Alloys . Compd. 459 (2008) 251–260. https://doi.org/10.1016/j.jallcom.2007.05.037.",Fe72Y6B22,2,0.72,0,0.22,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,[1],"[1] Z.-Z. Yuan, S.-L. Bao, Y. Lu, D.-P. Zhang, L. Yao, A new criterion for evaluating the glass-forming ability of bulk glass forming alloys, J. Alloys . Compd. 459 (2008) 251–260. https://doi.org/10.1016/j.jallcom.2007.05.037.",Fe74Mo5P10C4B4Si3,3,0.74,0,0.04,0.03,0,0,0,0,0,0.05,0.1,0.04,0,0,0,0,0,0,0,0,0,0,0
119,[1],"[1] Z.-Z. Yuan, S.-L. Bao, Y. Lu, D.-P. Zhang, L. Yao, A new criterion for evaluating the glass-forming ability of bulk glass forming alloys, J. Alloys . Compd. 459 (2008) 251–260. https://doi.org/10.1016/j.jallcom.2007.05.037.",Fe76Mo3P10C4B4Si3,3.5,0.76,0,0.04,0.03,0,0,0,0,0,0.03,0.1,0.04,0,0,0,0,0,0,0,0,0,0,0
120,[1],"[1] Z.-Z. Yuan, S.-L. Bao, Y. Lu, D.-P. Zhang, L. Yao, A new criterion for evaluating the glass-forming ability of bulk glass forming alloys, J. Alloys . Compd. 459 (2008) 251–260. https://doi.org/10.1016/j.jallcom.2007.05.037.",Fe76Mo4(P0.45.C0.2.B0.2.Si0.15)20,4,0.76,0,0.04,0.03,0,0,0,0,0,0.04,0.09,0.04,0,0,0,0,0,0,0,0,0,0,0
121,[1],"[1] Z.-Z. Yuan, S.-L. Bao, Y. Lu, D.-P. Zhang, L. Yao, A new criterion for evaluating the glass-forming ability of bulk glass forming alloys, J. Alloys . Compd. 459 (2008) 251–260. https://doi.org/10.1016/j.jallcom.2007.05.037.",Fe76Si9B10P5,2.5,0.76,0,0.1,0.09,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0
122,[1],"[1] Z.-Z. Yuan, S.-L. Bao, Y. Lu, D.-P. Zhang, L. Yao, A new criterion for evaluating the glass-forming ability of bulk glass forming alloys, J. Alloys . Compd. 459 (2008) 251–260. https://doi.org/10.1016/j.jallcom.2007.05.037.",Fe77Mo2P10C4B4Si3,2.5,0.77,0,0.04,0.03,0,0,0,0,0,0.02,0.1,0.04,0,0,0,0,0,0,0,0,0,0,0
123,[1],"[1] Z.-Z. Yuan, S.-L. Bao, Y. Lu, D.-P. Zhang, L. Yao, A new criterion for evaluating the glass-forming ability of bulk glass forming alloys, J. Alloys . Compd. 459 (2008) 251–260. https://doi.org/10.1016/j.jallcom.2007.05.037.",Fe78Mo1P10C4B4Si3,1.5,0.78,0,0.04,0.03,0,0,0,0,0,0.01,0.1,0.04,0,0,0,0,0,0,0,0,0,0,0
124,[22],"[22] A. Wang, C. Zhao, H. Men, A. He, C. Chang, X. Wang, R.-W. Li, Fe-based amorphous alloys for wide ribbon production with high Bs and outstanding amorphous forming ability, J. Alloys Compd. 630 (2015) 209–213. https://doi.org/10.1016/j.jallcom.2015.01.056.",Fe83C1B11Si2P3,0.081,0.83,0,0.11,0.02,0,0,0,0,0,0,0.03,0.01,0,0,0,0,0,0,0,0,0,0,0
125,[22],"[22] A. Wang, C. Zhao, H. Men, A. He, C. Chang, X. Wang, R.-W. Li, Fe-based amorphous alloys for wide ribbon production with high Bs and outstanding amorphous forming ability, J. Alloys Compd. 630 (2015) 209–213. https://doi.org/10.1016/j.jallcom.2015.01.056.",Fe83C1B11Si3P2,0.067,0.83,0,0.11,0.03,0,0,0,0,0,0,0.02,0.01,0,0,0,0,0,0,0,0,0,0,0
126,[22],"[22] A. Wang, C. Zhao, H. Men, A. He, C. Chang, X. Wang, R.-W. Li, Fe-based amorphous alloys for wide ribbon production with high Bs and outstanding amorphous forming ability, J. Alloys Compd. 630 (2015) 209–213. https://doi.org/10.1016/j.jallcom.2015.01.056.",Fe83C1B8Si4P4,0.055,0.83,0,0.08,0.04,0,0,0,0,0,0,0.04,0.01,0,0,0,0,0,0,0,0,0,0,0
127,[17],"[17] H.B. Wang, L.X. Ma, L. Li, B. Zhang, Fabrication of Fe-based bulk metallic glasses from low-purity industrial raw materials, J. Alloys Compd. 629(2015) 1–4. https://doi.org/10.1016/j.jallcom.2014.11.228.",(Fe71.2B24Y4.8)96Ti4 ,2,0.68352,0,0.2304,0,0,0,0.04608,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0
128,[17],"[17] H.B. Wang, L.X. Ma, L. Li, B. Zhang, Fabrication of Fe-based bulk metallic glasses from low-purity industrial raw materials, J. Alloys Compd. 629(2015) 1–4. https://doi.org/10.1016/j.jallcom.2014.11.228.",(Fe71.2B24Y4.8)96Nb1Ti3 ,3,0.68352,0,0.2304,0,0.01,0,0.04608,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0
129,[17],"[17] H.B. Wang, L.X. Ma, L. Li, B. Zhang, Fabrication of Fe-based bulk metallic glasses from low-purity industrial raw materials, J. Alloys Compd. 629(2015) 1–4. https://doi.org/10.1016/j.jallcom.2014.11.228.",(Fe71.2B24Y4.8)96Nb2Ti2,6,0.68352,0,0.2304,0,0.02,0,0.04608,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0
130,[17],"[17] H.B. Wang, L.X. Ma, L. Li, B. Zhang, Fabrication of Fe-based bulk metallic glasses from low-purity industrial raw materials, J. Alloys Compd. 629(2015) 1–4. https://doi.org/10.1016/j.jallcom.2014.11.228.",(Fe71.2B24Y4.8)96Nb3Ti1 ,3,0.68352,0,0.2304,0,0.03,0,0.04608,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0
131,[7],"[7] C. Suryanarayana, A. Inoue, Iron-based bulk metallic glasses, Int. Mater. Rev. 58 (2013) 131–166. https://doi.org/10.1179/1743280412Y.0000000007.",(Fe71.2B24Y4.8)96Nb4,3,0.68352,0,0.2304,0,0.04,0,0.04608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
